标题,链接,价格,作者,出版时间,评论数,简介
Python 3网络爬虫开发实战 崔庆才Scrapy数据分析处理手册 数据抓取指南+Python网络爬虫实战,http://product.dangdang.com/1399670887.html,¥158.00,胡松涛,2016/12/1,2,
python金融大数据分析 python基础教程 python书籍 笨办法学python 网络金融 python金融分析,http://product.dangdang.com/1391423387.html,¥198.00,Yves Hilpisch,2015/12/1,2,
Python+Spark 2.0+Hadoop机器学习与大数据实战 大数据技术教程书籍 大数据理论和技术教材 机器学习,http://product.dangdang.com/1393412787.html,¥178.00,无,2018/1/1,2,
Python3.7从零开始学+从零开始学Python数据分析与挖掘 全2册 笨方法学python编程快速上手从入门到精通,http://product.dangdang.com/1555163275.html,¥152.00,无,2014/12/1,2,
"【全新直发】Python数据科学手册 (美)杰克・万托布拉斯(Jake VanderPlas) 著;陶俊杰,陈小莉 译 【正版图书】",http://product.dangdang.com/1571379648.html,¥101.97,杰克,2018/2/1,2,
Python高级编程第2版 python程序设计编程源代码开发基础教程书籍+Python高性能编程 python 编程,http://product.dangdang.com/1207443687.html,¥166.00,贾沃斯基,2017/9/1,2,
Python Qt GUI快速编程+Python高级编程 编程语言应用函数应用方法技巧书 计算机教材,http://product.dangdang.com/1393710287.html,¥128.80,马克.萨默菲尔德,2016/9/1,2,
Python应用开发实战 人民邮电出版社 【文轩正版图书】Python项目开发实战指南 基于Python3.5讲解，兼容Python2.7,http://product.dangdang.com/1369581177.html,¥37.90,[美]尼纳德・萨斯叶（NinadSathaye）,2018/6/1,2,
Python算法教程,http://product.dangdang.com/1210589384.html,¥58.65,赫特兰,2016/1/1,2,编辑推荐 本书作者是畅销书Python基础教程(第2版)的作者，在Python领域颇有知名度。 本书用Python语言来讲解算法的分析和设计。本书主要关注经典的算法。
"Python面向对象编程指南 (美)洛特(Steven F.Lott) 著;张心韬,兰亮 译 【文轩正版图书】掌握Python面向对象编程的精髓 构建强大的实际应用程序",http://product.dangdang.com/1126448082.html,¥37.90,"(美)洛特(Steven F Lott) 著；张心韬,兰亮 译",2016/3/1,2,本书致力于深入讲解Python语言的不错特性，通过丰富、强大的代码示例为读者循序渐进地讲解如何编写高质量的Python代码。本书可谓是成就Python编程高手的推荐阅读之选。本书通过实际的例子对Python中面向对象编程的理念进行介绍。针对所有可用于和Python内置功能进行无缝结合的特殊方法，本书都提供了详细示例，并且介绍了如何使用JSON、YAML、Pickle、CSV、XML、Shelve和SQL来创建持久化对象以及在进程间传输对象。本书还介绍了Logging和Warning模块、单元测试、配置文件以及如何使用命令行。本书主要分为3个部分：用特殊方法实现Python风格的类；持久化和序列化；测试、调试、部署和维护。特殊方法部分又分为：初始化方法、基本特殊方法、属性访问、可调用对象、上下文、容器、集合、数值，以及装饰器和mixin类等不错技术。本书示例丰富，通过诸多实际的例子对Python
Python网络编程攻略 [英] 萨卡尔（Dr.M.O.Faruque Sarker） 著，安道 译 978711537 【正版图书，质量保证，可开发票，放心购买】,http://product.dangdang.com/1633469281.html,¥68.00,[英] 萨卡尔（Dr.M.O.Faruque Sarker）,2014/12/1,2,Python是门很棒的编程语言，适合快速构建应用原型。《图灵程序设计丛书：Python网络编程攻略》全面介绍了Python网络编程涉及的重要问题，包括网络编程、系统和网络管理、网络监控以及Web应用开发。作者通过70多篇攻略，清晰简明地描述了各种网络任务和问题，提出了可用于多种场景的解决方案，并细致地分析了整个操作过程。无需多少Python基础知识，就可以轻松理解这些示例。如果你想开发依赖于网络协议的实用Web应用和网络应用，不能错过这本书。 《图灵程序设计丛书：Python网络编程攻略》将告诉你如何开发TCP/IP网络客户端和服务器应用 管理本地设备的IPv4/IPv6网络接口 使用HTTP和HTTPS协议编写用途多、效率高的Web客户端 编写可使用常见电子邮件协议的电子邮件客户端 通过Telnet和SSH连接执行远程系统管理任务 使用Web服务与流行的网站交
Python自动化测试实战,http://product.dangdang.com/1575174263.html,¥58.00,鹿瑞峰 著,2019/11/1,2,
Python深度学习异常检测 使用Keras和PyTorch 如何将深度学习应用于各种异常检测任务！如何利用Python中的Keras和PyTorch框架，将各种深度学习模型应用于半监督和无监督异常检测任务。,http://product.dangdang.com/29131983.html,¥87.20,[美] 斯里达尔・阿拉（Sridhar Alla）、苏曼・卡拉扬・阿达里（Suman,2020/8/1,1,在这本通俗易懂的入门级指南的引导下，了解如何将深度学习应用于各种异常检测任务！本书浓墨重彩地描述如何利用Python中的Keras和PyTorch框架，将各种深度学习模型应用于半监督和无监督异常检测任务。 《Python深度学习异常检测 使用Keras和PyTorch》开篇讨论异常检测的含义、用途和重要性。在介绍用Python的scikit-learn进行异常检测的统计和传统机器学习方法后，本书引入深度学习方法，详述如何在Keras和PyTorch中构建和训练深度学习模型，重点分析各类自动编码器、RBM、RNN、LSTM和TCN等深度学习模型在异常检测领域的应用。除了讲解基于时间序列的异常检测的基础知识外，本书还探索无监督和半监督异常检测的相关内容。 学习《Python深度学习异常检测 使用Keras和PyTorch》后，你将全面了解异常检测的基本任务，掌握各种处理异常检测的方法(从传统方法到深度学习方法等
Python数据分析：零基础入门到实战开发 Python、数据分析、零基础、从入门到精通、实战开发、数学思维,http://product.dangdang.com/29140327.html,¥48.10,张玉皓,2020/11/5,1,系统：立体化、全方位解读数据分析行业技能掌握路线细致：沿着需求- 代码实现的思路，介绍上百个数分小技巧，适合各类读者阅读深入：18个统计学知识点，建立数据分析背后的数学思维案例：列举了多个数据分析案例，趁热打铁，理论与实践相结合
Python迁移学习 使用TensorFlow和Keras实现高级深度学习和神经网络模型,http://product.dangdang.com/29139157.html,¥85.40,[印] 迪潘简・撒卡尔（Dipanjan Sarkar）,2020/10/1,1,1. 快速掌握知识点 本书能带你厘清机器学习和深度学习的关键基本概念，对重要的深度学习架构进行描述，卷积神经网络、深度神经网络、递归神经网络、长短时记忆神经网络以及胶囊网络都有所涉及。 2. 用实操夯实迁移学习理论 通过阅读本书，读者能够深刻理解迁移学习的相关概念，并结合相关的编程案例掌握模型冻结、模型调优、预训练模型（包括VGG模型、Inception模型和ResNet模型）等。 3. 掌握实用技能 本书集中讨论了大量现实世界中不同领域的案例和问题，例如计算机视觉、音频分析以及自然语言处理。
"Python 自动化接口测试自学手册 通过较短学习路径轻松学会Python自动化接口测试，详尽Python基础知识+自动化接口测试实战，源码分析一应俱全,视频资源公号答疑",http://product.dangdang.com/29140329.html,¥48.10,张挺,2020/11/1,1,这本自学手册有三个特点（1）练习式学习。书中会给读者布置很多小练习，并给予适当的提示。读者在完成这些小练习后，将会发现自己已经通过实践操作掌握了需要学习的知识。 （2）自助式扩展阅读。书中会给出搜索关键字，读者可以通过搜索引擎自行查找，通过这样的搜索实践操作来锻炼大家的信息搜索能力和信息筛选能力，这两种能力也是实际工作中非常实用的能力。 （3）循序渐进地学习。希望读者在学习过程中没有阻碍，遇到问题可以自己解决，从而自由顺畅地往下学，不会在某处遇到问题，之后的内容就会看不懂。本书并非一本大而全的百科全书，而是专门针对自动化测试选择实用、核心的知识点来讲解。现在各种学习资料十分丰富，但正因为太过丰富，导致我们在学习时很迷茫，不知道应该先学哪个？本书基于这样一个学习困惑，帮助读者通
算法之美―Python语言实现 视频+案例+图解 算法基础+算法设计：典型算法、竞赛算法、大数据算法、人工智能算法、游戏算法、算法图解，视频讲解+83个实例案例分析+大量习题练习,http://product.dangdang.com/29142969.html,¥48.10,刘瑜 车紫辉 顾明臣 杜瑾敏 著,2020/11/1,1,作者20多年软件开发、大数据实战、企业应用经验积累，10万忠实粉丝读者群，与高校教师、企业精英合力打造Python编程的至高境界 算法编程！ 本书集算法之大全，包含传统典型算法、竞赛算法、大数据算法、人工智能算法、游戏算法；大量图解帮助理解算法思想精髓；83个精简案例分析、大量习题练习和QQ在线服务，助力攀登编程制高点，摘取编程殿堂里的算法皇冠。
Python语言在Abaqus中的应用 第2版 99个实例的 Python 脚本文件、INP 文件和 ODB 文件，及编写思路、实现方法与技巧,http://product.dangdang.com/29145808.html,¥54.50,曹金凤 著,2020/10/20,1,?本书内容从实际应用出发，通俗易懂，深入浅出，读者无须具备很深的理论知识，即可轻松掌握 Python 语言在 Abaqus 中应用的各种编程技巧。 ?本书详细介绍了 Python 语言编程的基础知识，便于读者学习 Python 语言在 Abaqus 中的各种应用。 ?本书将重点、难点、易出错点用彩色字体标示，醒目直观，便于读者提高学习效率。 ?扫描书中二维码可下载资源包文件，运行其中的实例脚本后，可以实现特定功能。 ?在本书所供实例脚本的基础上，可通过修改或添加代码来满足其他程序的开发需要。
零基础入门Python游戏 自古华山一条路！勇者们你们准备好踏上这条布满荆棘的Python游戏开发之路了吗？,http://product.dangdang.com/29131959.html,¥70.30,车洪,2020/8/1,1,针对零基础者，带领大家从零开始如何一步步的开发 Python 小游戏，此类书籍在市面上比较少见。游戏的选材都是市面上相对比较热门的小游戏，十分有趣味性和挑战性，并且很容易上手。本书知识结构由浅入深，可以将对Python变成感兴趣的读者带领上Python编程开发之路。每一关卡的*后均有奖励宝箱等待读者在挑战成功后开启！
图解机器学习―算法原理与Python语言实现 人工智能深度学习技术丛书 250张图文解读机器学习和算法原理，大量场景应用实例及流程图助你轻松入门机器学习，机器学习入门必读图书,http://product.dangdang.com/29140853.html,¥48.10,丁毓峰 编著,2020/9/1,1,这是一本非常优秀的图解机器学习及其算法的入门书籍。本书从应用场景出发，利用大量图解和流程图相结合的方式讲解机器学习的基本知识及其常用经典算法的应用，全书没有大篇幅的理论介绍和复杂的数学公式推导，也没有生涩难懂的专业术语，而是通过浅显易懂的图示、直观的流程图以及与生活息息相关的实例应用让读者轻松学习和掌握机器学习知识，从而明白机器学习是如何影响和改变人类生活的。 本书覆盖了机器学习领域的监督学习、半监督学习、无监督学习、增强学习和机器学习新算法等内容，构成了机器学习从经典到现代的体系框架，每章也可独立阅读。限于篇幅，书中没有讲解Python语言的基础知识，如果读者没有Python语言的基础，建议先学习Python语言入门知识，这样可以更好地学习本书内容。 建议想从事机器学习的入门读者必读，以便对机器
Python 编程技术手册 Python入门书，大量实例+详细代码解析，学技术，更要学编程思维！AI开发、机器学习、大数据处理、科学计算、网络爬虫。赠全部源代码+范例解析+PPT课件+119节视频讲解。,http://product.dangdang.com/29135475.html,¥70.90,林信良 著,2020/10/1,1,本书是一本写给小白的Python入门书，用通俗易懂的语言和简短的代码案例，带领读者快速入门。 全书案例丰富，并附有详细的代码解析，可以让读者在实践中理解知识点，在快速掌握相关技术的同时培养一定的编程思维。 本书配有119段视频讲解和PPT教学课件，方便读者高效率自学。 本书在写作时特别注意各版本之间的功能变化、新功能的应用方法及注意事项，读者无论选择Python 3.x哪个版本（甚至Python 2.x），都能够很好地使用本书学习。 从基础到进阶 ，涵盖实际工作时Python编程所有常用知识点。 从理论到实践 ，勤动手、多动脑，活学活用，快速提升编程水平。 从代码到思维 ，代码有详细解析，潜移默化培养编程思维。
Python可以这样学 【正版图书，质量保证，可开发票，放心购买】,http://product.dangdang.com/1639274761.html,¥42.00,董付国,2017/2/1,1,信息量大、案例丰富、实用性强。全书包含近200个案例和上千段代码，涉及Python基本语法和数据类型，以及GUI、网络应用、数据库、密码学、科学计算与可视化、大数据、图形图像处理等多个领域的开发，书中一些代码进行简单拼凑就可以满足实际工作中需要的很多功能。深度与广度兼顾。剖析Python编程模式，通过小提示、小技巧、注意、拓展知识等形式适当介绍标准库的工作原理、内置函数的高级用法以及代码优化和安全编程知识，同时还补充了很多扩展库的小应用，满足不同层次读者需要。语言轻松愉快，寓教于乐。以Python知识和应用为主线，偶尔穿插一点太极拳论、道德经、易经、古诗词和其他一些文学作品中的名言名句和小故事，部分题目还给出了非常幽默的答案。注释量大。书中几乎每段重要代码都配有相关的注释，让读者能够在*短时间内理解代码的编
Python编程之旅：与小博士漫游太阳系 从星海出发，漫游太阳系，领略地球文明，探索宇宙奥秘，运用Python攻坚克难，和主人公一起去历险，掌握智能时代的通用语言！,http://product.dangdang.com/29001870.html,¥71.00,樊瑞元、张晖,2020/8/1,1,本书以Python语言为工具，将Python语言相关的知识点进行拆解和组装，与科幻故事结合起来，从奥尔特星云一直向太阳系核心进发，直到抵达地球。由浅入深，由单一到综合，依次介绍了Python基本语法，第三方库的使用，Python界面应用开发，图像处理基础知识，类和面向对象程序设计，文件操作，图表绘制，线程的使用，异常处理等知识，*后用太阳系运行模型、Office接口程序设计、古诗词网络爬虫和计算机朗读三个综合项目实例读者范围。
Python大数据应用基础,http://product.dangdang.com/29133852.html,¥57.30,吕会红 邱静怡,2020/9/1,1,案例实用，内容全面--本书采用目前大数据领域的热门软件Python编写，结合python语言的特性，全面讲解大数据相关的数据处理和数据挖掘的相关知识。内容从基础理论到实践应用，由浅入深、循序渐进，并配以大量的图例和实例讲解，能够使读者快速地了解和掌握大数据原理及应用案例。 涵盖实验教学内容--本书还将实验环节及实操内容融入到各个知识点与课程教学中，满足该课程对实践教学的需求。 配套资源丰富--本书还配套丰富的教学资源与学习资源，包括教案、课件、数据源的教学辅助资源，后续还将提供课程的教学视频的学习资源。
利用Python进行数据分析机械工业出版社9787111436737Wes McKinn【达额立减】 正版保障 达额立减 闪电发货！,http://product.dangdang.com/1679163154.html,¥37.67,Wes McKinney 著；唐学韬 译,2000/1/1,1,
Python程序设计（微课版） 书内配有23个难点视频讲解，提供源程序代码，配有习题答案、教学课件，高职教材,http://product.dangdang.com/29132116.html,¥46.20,张婷婷，陈阳，刘晓芳 主编,2020/8/1,1,本书从初学者角度出发，基于Python3.8，系统全面地介绍了Python基础知识，并给出了一个完整的游戏实践《抵御外星人》（第12-14章）。针对学习重点、难点，给出了23个教学视频（书内扫码观看），并提供源程序代码、教学课件、习题答案。
Python编程入门 (加)Toby Donaldson人民邮电出版社 正版现货，有问题请联系在线客服！,http://product.dangdang.com/1700695732.html,¥49.00,(加)Toby Donaldson,2013/12/1,1,简洁的步骤和解释 助你快速上手。 必备的参考指南 值得反复品味。 学习Python基础知识的不二选择 从算术运算、字符串、变量，到函数、数据结构、输入输出和异常处理，应有尽有！ 通俗易懂的语言结合常见任务、屏幕图和详细的解释，循序渐进地介绍了Python的基础知识，助你轻松、迅速地学习Python。书中没有深奥的理论或者高级应用，非常适合用来自学。你定能掌握Python的各项基础知识，成为一名真正的Python程序员！
【赠源代码】python编程 从入门到实践python基础教程数据分析python学习手册编程入门迅速掌握Python编,http://product.dangdang.com/1609473827.html,¥87.00,Eric Matthes,2020/1/15,1,
Python核心编程 第3版 [美]卫斯理 春(Wesley Chun) 人民邮电出版社 9787115414779【新 新华书店 评价有礼 全国多仓就近发货 85%城市次日送达！,http://product.dangdang.com/1743002114.html,¥99.00,[美]卫斯理 春(Wesley Chun),2016/5/1,1,
"Python Qt GUI快速编程-PyQt编程指南 (英)Mark Summerfield(马克 . 萨默菲尔德),闫 【正版图书，质量保证，可开发票，放心购买】",http://product.dangdang.com/1655713919.html,¥52.00,"(英)Mark Summerfield(马克 . 萨默菲尔德),闫锋",2016/8/1,1,讲解Python基础知识。 通过三个例子讲解PyQt GUI应用程序。 深入讲述窗口部件布局、事件处理、窗口部件子类化、Qt图形架构和Qt的模型/视图。 介绍国际化、网络化和多线程化。
Python基础教程(第2版 修订版) (挪)海特兰德 人民邮电出版社 9787115353528,http://product.dangdang.com/1676808593.html,¥48.90,(挪)海特兰德,2014/6/1,1,本书是经典的Python入门教程，层次鲜明，结构严谨，内容翔实，特别是后几章，作者将前面讲述的内容应用到10个引人入胜的项目中，并以模板的形式介绍了项目的开发过程，手把手教授Python开发，让读者从项目中领略Python的真正魅力。 本书既适合初学者夯实基础，又能帮助Python程序员提升技能，即使是Python方面的技术专家，也能从书里找到耳目一新的内容。
Python量化交易实战 王晓华 著 清华大学出版社【正版图书 品质保证 售后无忧】 全店满89元随机赠送图书一本（详情咨询客服）部分地区（包括但不限于新疆，西藏，青海）暂不参与本次活动,http://product.dangdang.com/1768533104.html,¥56.99,王晓华 著,2019/1/1,1,
Python 网络编程攻略 Dr M O Faruque Sarker 人民邮电出版社 9787115372697【新华 新华品质 评价有礼 全国多仓就近发货 85%城市次日送达！,http://product.dangdang.com/1669459731.html,¥79.00,Dr. M. O. Faruque Sarker,2014/12/1,1,
Python数据分析 第2版(影印版) Wes McKinney 东南大学出版社 9787564175191 新书店购书无忧有保障！,http://product.dangdang.com/1692363948.html,¥67.00,Wes McKinney,2018/2/1,1,获得关于用Python语言操纵、处理、清洗和压缩数据集的完整介绍。这本容易上手的指南第二版为Python 3.6而升级，其中包括一些实用的案例研究，展示了如何有效解决各种数据分析问题。你将从中学到新版pandas、NumPy、IPython和Jupyter的处理方法。
Python数据分析与应用 黄红梅 张良均 9787115373045 【正版图书，质量保证，可开发票，放心购买】,http://product.dangdang.com/1633299791.html,¥31.00,黄红梅 张良均,2018/4/1,1,资 深大数据专家张良均领衔畅销书作者团队，教育部长江学者特聘教授、国家杰出青年基金获得者、IEEE Fellow、华南理工大学计算机与工程学院院长张军倾力推荐。本书采用了以任务为导向的教学模式，按照解决实际任务的工作流程路线，逐步展开介绍相关的理论知识点，推导生成可行的解决方案，* 后落实在任务实现环节。全书大部分章节紧扣任务需求展开，不堆积知识点，着重于解决问题时思路的启发与方案的实施。通过从任务需求到实现这一完整工作流程的体验，帮助读者真正理解与消化Python数据分析与应用。书中案例全部源于企业真实项目，可操作性强，引导读者融会贯通，并提供源代码等相关学习资源，帮助读者快速掌握大数据相关技能。
Python 3学习笔记 雨痕电子工业出版社 正版现货，有问题请联系在线客服！,http://product.dangdang.com/1698529742.html,¥93.90,雨痕,2018/1/1,1,人们都认为Python简单易学，但其实Python 的复杂程度要远高出许多人的设想，诸多概念被隐藏在看似简单的代码背后。这也是Python易学难精的主要原因。对一门语言的学习如果仅停留在语言规范层面，经不起实战的考验。本书试图从Python 3的解释器入手，剖析语言背后的实现，帮助读者修炼Python技能，不仅会用，还用得好，用得妙。
"Python渗透测试编程技术:方法与实践:methods & practices,李华峰,清华大学出版社【正版】 为迎双十一来临，本店内下单满30减1 满50减3 满100减5 满200减10 优惠多多 欢迎抢购！",http://product.dangdang.com/1759980170.html,¥48.30,李华峰,2019/1/1,1,
Python项目开发实战 第2版 日 BePROUD股份有限公司 人民邮电出版社 [正版书籍，下单速发，下单前请联系客服查询书籍库存],http://product.dangdang.com/1731431542.html,¥49.74,日 BePROUD股份有限公司,2016/12/1,1,会写代码 能做好项目！ 建立有序生产环境 迅速融入开发团队 高效处理项目问题 网罗Python项目开发中的流程，让你的编程事半功倍 Python项目与封装/团队开发环境/问题驱动开发/源码管理（Mercurial） Jenkins持续集成（CI）/环境搭建与部署的自动化（Ansible）/Django框架 日本极客和书虫们的智慧结晶和经验总结 BeProud里不乏极客和书虫们。在这里，很多人对特定领域的了解程度能吓掉你的下巴。大家一旦发现感兴趣的事，就会拿出私人时间来学习、实践。要知道，极客和书虫们不会为这种事情吝啬时间。 正如人们印象中的那样，极客和书虫们大多有些怪癖，但BeProud 的员工都具备下列共识。 ?希望能不做不想做的事 ?希望学会好的方法并付诸实践 ?希望工作时有个好心情
"Python Qt GUI快速编程-PyQt编程指南 (英)Mark Summerfield(马克 . 萨默菲尔德),闫 正版书籍，放心下单！",http://product.dangdang.com/1717086413.html,¥34.00,(英)Mark Summerfield(马克 . 萨默菲尔德,2016/8/1,1,讲解Python基础知识。 通过三个例子讲解PyQt GUI应用程序。 深入讲述窗口部件布局、事件处理、窗口部件子类化、Qt图形架构和Qt的模型/视图。 介绍国际化、网络化和多线程化。
Python Qt GUI快速编程-PyQt编程指南 【正版书籍，有问题请随时联系在线客服】(支持7天无理由退货！！),http://product.dangdang.com/1694112532.html,¥58.60,"(英)Mark Summerfield(马克 . 萨默菲尔德),闫锋",2016/8/1,1,讲解Python基础知识。 通过三个例子讲解PyQt GUI应用程序。 深入讲述窗口部件布局、事件处理、窗口部件子类化、Qt图形架构和Qt的模型/视图。 介绍国际化、网络化和多线程化。
【正版现货】Python项目开发案例集锦9787569244403 明日科技（MingRiSoft）著，明日科技 编 吉 此书为正版图书，正常48小时内发货，提供发票，请放心购买，团购量大请联系在线客服或15671107107,http://product.dangdang.com/1702127997.html,¥75.46,明日科技（MingRiSoft）著，明日科技 编,2019/3/1,1,
Python核心编程 第3版 【正版书籍，有问题请随时联系在线客服】(支持7天无理由退货！！),http://product.dangdang.com/1694100572.html,¥48.60,[美]卫斯理 春(Wesley Chun),2016/5/1,1,想进一步提升Python编程水平？请深入分析真实应用程序中使用的大量相关主题涵盖了正则表达式、Internet/网络编程、GUI、SQL/数据库/ORM、多线程、Web开发了解当前的开发区域，比如Google 、Twitter、MongoDB、OAuth、Python 3迁移、Java/Jython囊括有关Django、Google App Engine、CSV/JSON/XML和Microsoft Office的全新内容。包含Python 2和Python 3代码，以便立即可以使用提供了代码片段、互动案例和实用练习，旨在巩固Python技能 Python是一种灵活、可靠且具有表现力的编程语言，它将编译语言的强大与脚本语言的简洁性、快速开发特性整合起来。在《Python核心编程 第3版》中，杰出Python开发人员兼企业培训师Wesley Chun会帮助您将Python技能提升到更高的水平。《》涵盖了成为一名技术全面的Python开发人员所需的一切内容。《》讲解了应用开发相关的多个领域，而且书中的内容可以立即应用到项目开发
Python接口自动化测试 王浩然 电子工业出版社 正版现货，有问题请联系在线客服！,http://product.dangdang.com/1695885508.html,¥40.00,王浩然,2019/5/1,1,适读人群 ：本书适合初、中级测试工程师，对Python 语言感兴趣的人员，以及想要提升技术的人员。 真正做到学以致用，以编写一套可落地的接口自动化脚本为目的。 本书是实实在在的一线测试干货积累，提供落地化的HTTP协议接口自动化脚本，以及实实在在的可运行环境。有了这本书，就等于有了一套实实在在的测试平台。 轻松入门Python语法，书中涉及的语法都是脚本中用到的，并在这个基础上做出适当的延伸，使读者在编写代码的同时，知其然，也知其所以然。 书中源码公开，拥有这本书，就拥有了整套的源码，按照本书的环境设置，这套源码是完全可运行的。
【新华书店】Python量化交易 张杨飞 著 电子工业出版社 9787121361401 正版现货 满5件包邮,http://product.dangdang.com/1679595420.html,¥89.33,张杨飞 著,2019/5/1,1,适读人群 ：相对其他量化交易的书，本书不再讲述Python语言编程的大量细节，而将笔墨着重放在量化交易策略的解析、应用与回测之上，这才是新手真正需要学习和实践的地方。本书适合所有对量化交易感兴趣的人员阅读，也适合相关院校和培训机构作为量化交易系统课程的教材。 1 本书仅用一章的篇幅就把量化交易概念、源起和发展用故事的形式介绍了，适合完全不懂量化交易的读者入门。 2 本书再仅用一章的篇幅就把Python在量化交易里用到的基础必用知识全部介绍完了，适合特别了解量化交易但不想学太多程序知识的读者，掌握这一章内容即可进行Python量化交易。 3 本书接下来用一章的篇幅把当下流行的vn.py框架引入进来。 4 接下来，即为本书的精华所在，也是本书价值所在，即各种量化交易策略的介绍、运用、回测等，帮助读者搭
【新华书店】Python数据分析与应用 黄红梅 张良均 人民邮电出版社 9787115373045 正版现货 满5件包邮,http://product.dangdang.com/1678874710.html,¥44.55,黄红梅 张良均,2018/4/1,1,资 深大数据专家张良均领衔畅销书作者团队，教育部长江学者特聘教授、国家杰出青年基金获得者、IEEE Fellow、华南理工大学计算机与工程学院院长张军倾力推荐。本书采用了以任务为导向的教学模式，按照解决实际任务的工作流程路线，逐步展开介绍相关的理论知识点，推导生成可行的解决方案，* 后落实在任务实现环节。全书大部分章节紧扣任务需求展开，不堆积知识点，着重于解决问题时思路的启发与方案的实施。通过从任务需求到实现这一完整工作流程的体验，帮助读者真正理解与消化Python数据分析与应用。书中案例全部源于企业真实项目，可操作性强，引导读者融会贯通，并提供源代码等相关学习资源，帮助读者快速掌握大数据相关技能。
Python自然语言处理 伯德 (Steven Bird) 人民邮电出版社 正版现货，有问题请联系在线客服！,http://product.dangdang.com/1696029778.html,¥68.00,伯德 (Steven Bird),2014/7/1,1,Python自然语言处理方面的权威之作 快速了解一些概念及基本工作原理的必读 提供丰富英文语料库和代码，方便练习 从输入法联想提示（predictive text）、email过滤到自动文本汇总、机器翻译，大量的语言相关的技术都离不开自然语言处理的支持，而这本书提供了自然语言处理的入门指南。通过本书，你将学到如何编写能处理大量非结构化文本的Python程序。你可以访问具有丰富标注的、涵盖了语言学各种数据结构的数据集，而且你将学习分析书面文档的内容以及结构的主要算法。 通过大量的例子和练习，本书将帮助你： 从非结构化文本中提取信息，无论是猜测主题还是识别“命名实体”； 分析文本的语言学结构，包括语法和语义分析； 访问流行的语言学数据集，包括WordNet和treebanks； 整合从语言学到人工智能等多个领域的技术。 通过使用Python程序设计语言和自然
python编程从入门到精通 Python网络爬虫核心编程数据分析语言程序设计 电脑计算机编程零 明日科技 著 9787 正版图书，提供电子发票，正常情况下48小时内发出，有任何问题联系在线客服！,http://product.dangdang.com/1670957187.html,¥51.75,明日科技 著,2019/5/1,1,Python是一门有条理的和强大的面向对象的程序设计语言，因其具有丰富和强大的库，还可以把用其他编程语言制作的各种模块（尤其是C/C++）很轻松地结合在一起，进行高效开发，Python语言已经成为受欢迎的程序设计语言之一。Python语言简单、易学、易用，适合在Web、数据分析、游戏、科学计算等领域进行编程开发。本书是一本面向Python零基础读者的入门书籍，按照基础入门→进阶提升→框架应用→项目开发的循序渐进的过程进行学习和实践。 本书特点 ―结构合理，适合自学。本书定位以初学者为主，在内容安排上充分体现了自学的特点，内容循序渐进，由浅入深，覆盖了编程的各方面技术。 ―视频讲解，全面到位。视频讲解是本书的特色之一，本书提供了近23小时的视频同步课程。每个知识点都力求讲透、讲全，在对各知识点的讲解过程中提供了很多
包邮 [套装书]Python大数据分析与机器学习商业案例实战+Python金融大|8071348,http://product.dangdang.com/1709275275.html,¥123.20,王宇韬 钱妍竹 王宇韬 房宇亮 肖金鑫,2020/6/1,1,#NAME?
Python3学习笔记上卷 雨痕 著 【文轩正版图书】,http://product.dangdang.com/1026428077.html,¥67.60,雨痕 著作,2018/1/1,1,
Python数据科学实践指南 纪路 著 【文轩正版图书】,http://product.dangdang.com/1423961547.html,¥45.40,纪路,2017/5/1,1,
Python程序设计教程 涵盖python3.0到3.5实用特性 林信良 清华大学出版社 python基础学习手册 py,http://product.dangdang.com/1540095885.html,¥57.00,林信良,2019/9/30,1,
Python机器学习实战案例,http://product.dangdang.com/1580102315.html,¥29.00,赵卫东 董亮,2019/12/1,1,
Python程序设计(第3版) (美)约翰・策勒(John Zelle) 著;王海鹏 译 【文轩正版图书】Python之父作序推荐 知名Python编程从入门到实践教程书 基于Python3编写 提供代码示例和教学PPT,http://product.dangdang.com/1495409557.html,¥33.10,[美] 约翰・策勒 （John Zelle） 著作 王海鹏 译者,2018/1/1,1,
Python与机器学习实战 决策树、集成学习、支持向量机与神经网络算法详解及编程实现 机器学习算法教程 视觉机器学习 P A7,http://product.dangdang.com/1527072971.html,¥65.00,无,2019/10/24,1,
"Python机器学习经典实例 (美)普拉提克・乔西(Prateek Joshi) 著;陶俊杰,陈小莉 译 【文轩正版图书】",http://product.dangdang.com/1062588257.html,¥28.30,（美）普拉提克・乔西（Prateek Joshi） 著作 陶俊杰 陈小莉 译者,2017/8/1,1,
PYTHON编程基础 【文轩正版图书】资 深大数据专家张良均领衔畅销书作者团队，长江学者特聘教授张军倾力推荐，全部采用企业真实项目案例，提供源代码等相关学习资源。,http://product.dangdang.com/1191542377.html,¥29.00,编者:张健//张良均 著作,2018/3/1,1,资 深大数据专家张良均领衔畅销书作者团队，长江学者特聘教授、国家杰出青年基金获得者、IEEE Fellow、华南理工大学计算机与工程学院院长张军倾力推荐。本书采用了以任务为导向的教学模式，按照解决实际任务的工作流程路线，逐步展开介绍相关的理论知识点，推导生成可行的解决方案， 落实在任务实现环节。全书大部分章节紧扣任务需求展开，不堆积知识点，着重于解决问题时思路的启发与方案的实施。通过从任务需求到实现这一完整工作流程的体验，帮助读者真正理解与消化Python编程。书中案例全部源于企业真实项目，可操作性强，引导读者融会贯通，并提供源代码等相关学习资源，帮助读者快速掌握Python相关技能。
